Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num AID+	Num AID+: CD20+	Num AID+: CD20+: CD4+	Num AID+: CD4+	Num AID+: Ki67+	Num AID+: Ki67+: CD20+	Num AID+: Ki67+: CD20+: CD4+	Num AID+: Ki67+: CD4+	Num CD20+	Num CD20+: CD4+	Num CD21+	Num CD21+: AID+	Num CD21+: AID+: CD20+	Num CD21+: AID+: CD20+: CD4+	Num CD21+: AID+: CD4+	Num CD21+: AID+: Ki67+	Num CD21+: AID+: Ki67+: CD20+	Num CD21+: AID+: Ki67+: CD20+: CD4+	Num CD21+: AID+: Ki67+: CD4+	Num CD21+: CD20+	Num CD21+: CD20+: CD4+	Num CD21+: CD4+	Num CD21+: Ki67+: CD20+	Num CD4+	Num Ki67+	Num Ki67+: CD20+	Num Ki67+: CD20+: CD4+	Num Ki67+: CD4+	Num PNAd+	Num PNAd+: AID+: CD20+: CD4+	Num PNAd+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD4+	Num PNAd+: CD4+	Area µm^2	Perimeter µm
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	aab78f27-4907-4220-9f29-8724e6858444	Annotation		LA	Root object (Image)	Geometry	9505	2276.5	97	0	0	0	0	0	0	0	0	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	1	3	0	0	0	0	0	0	0	0	9256.5	1374
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	02f1ec1d-cfb3-4470-9550-72f19c3599ba	Annotation		LA	Root object (Image)	Geometry	9800	2281.2	34	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	2791.2	555.95
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	75b30d71-20cf-4dd9-b76d-1bf9c7dbad89	Annotation		CD21+	Root object (Image)	Geometry	9495.1	2288.4	82	0	0	0	0	0	0	0	0	4	1	4	29	17	1	2	0	1	0	0	6	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	8610	492.41
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	e8121d4f-2b8c-46a3-92ed-2eb8defc7ece	Annotation		CD21+	Root object (Image)	Geometry	9738.2	2297	106	0	0	0	0	0	0	0	0	2	0	8	25	31	0	8	0	0	0	0	11	1	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	10234.2	532.12
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	8772c90d-ea70-428f-90ef-0f10479b2196	Annotation		LA	Root object (Image)	Geometry	9674.9	2316.9	69	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	5298.5	825.98
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	d8c8cd17-b480-4663-b69f-e3cb10af8119	Annotation		LA	Root object (Image)	Polygon	13189.9	2361.6	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750.4	349.45
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	45fb5d88-ecb8-4f99-86d9-c89fff0b5431	Annotation		LA	Root object (Image)	Polygon	10689.1	2547.8	15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1687.3	341.51
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	40d20e4f-b17a-45ff-b424-2b8eac7bfdbf	Annotation		LA	Root object (Image)	Geometry	10653.5	2590.4	42	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	1	0	0	0	0	0	0	0	0	0	0	4147.3	405.05
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	214df9fb-5943-4fff-9615-a6954f8b0ce6	Annotation		LA	Root object (Image)	Geometry	16395.9	2596.5	530	0	0	0	0	0	0	0	0	237	57	0	0	0	0	0	0	0	0	0	1	0	0	0	129	4	2	3	5	0	0	0	0	0	0	0	0	62982.3	3581.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	590b31cc-5d98-4cf9-8c43-73c7dad93ff0	Annotation		CD21+	Root object (Image)	Geometry	10421.5	2632.4	190	0	0	0	0	0	0	0	0	27	0	4	22	88	0	1	0	0	0	0	21	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15800.8	1040.4
