Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num CD21+: AID+: CD4+,Num CD21+: AID+: Ki67+: CD4+,Area µm^2,Perimeter µm,Num AID+,Num AID+: CD20+,Num AID+: CD20+: CD4+,Num AID+: CD4+,Num AID+: Ki67+,Num AID+: Ki67+: CD20+,Num AID+: Ki67+: CD20+: CD4+,Num CD20+,Num CD20+: CD4+,Num CD21+,Num CD21+: AID+,Num CD21+: AID+: CD20+,Num CD21+: AID+: CD20+: CD4+,Num CD21+: AID+: Ki67+,Num CD21+: AID+: Ki67+: CD20+,Num CD21+: CD20+,Num CD21+: CD20+: CD4+,Num CD21+: CD4+,Num CD21+: Ki67+,Num CD21+: Ki67+: CD20+,Num CD21+: Ki67+: CD4+,Num CD4+,Num Ki67+,Num Ki67+: CD20+,Num Ki67+: CD20+: CD4+,Num Ki67+: CD4+,Num PNAd+: CD4+,Num AID+: Ki67+: CD4+,Num CD21+: AID+: Ki67+: CD20+: CD4+,Num PNAd+,Num PNAd+: AID+: CD20+: CD4+,Num PNAd+: CD20+: CD4+,Num PNAd+: CD21+: AID+: CD20+: CD4+,Num PNAd+: CD21+: AID+: CD4+,Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+,Num PNAd+: CD21+: AID+: Ki67+: CD4+,Num PNAd+: AID+: CD4+,Num PNAd+: AID+: Ki67+: CD20+: CD4+,Num PNAd+: AID+: Ki67+: CD4+,Num CD21+: Ki67+: CD20+: CD4+,Num PNAd+: Ki67+: CD20+
PBC-PR-6404_1E_Scan1.qptiff - resolution #1,018392e2-3504-4a8d-8c64-fb2ce14248f5,Annotation,,CD21+,Root object (Image),Geometry,4958.7,14348.1,15,5,10,5550.8,420.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,7b415003-2c53-4932-bfd5-40aa429d7a9d,Annotation,,CD21+,Root object (Image),Geometry,9730.4,6379.6,67,0,0,5077.7,587.72,0,0,0,0,0,0,0,7,0,0,5,42,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,5c71a499-4ebd-4eb0-8c4e-0769fc3ee404,Annotation,,LA,Root object (Image),Geometry,9730,6383.4,251,0,0,19159.6,1556.7,0,0,0,0,0,0,0,116,33,0,0,4,0,0,0,6,0,0,0,0,0,44,0,1,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,d6c89853-46a1-4eff-b86d-5669a7f18329,Annotation,,LA,Root object (Image),Geometry,8916.3,6456.6,22,0,0,1513.8,357.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,615f2a38-6735-4893-9b17-0d2faae1a317,Annotation,,LA,Root object (Image),Geometry,8492,6667.6,91,0,0,6086.9,1040.4,0,0,0,0,0,0,1,16,8,0,0,6,2,0,0,7,2,0,0,0,0,37,0,1,1,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,dc223271-8fe9-41ec-9de9-f0a440ba1ce9,Annotation,,CD21+,Root object (Image),Geometry,8455.1,6689.8,62,0,0,5172.3,706.85,0,0,0,0,0,0,0,2,3,0,2,35,7,0,5,6,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,3b1809d3-d0ca-45c8-8bc8-8643af78f58e,Annotation,,LA,Root object (Image),Polygon,9514.5,7165.3,21,0,0,1561.2,238.26,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,f0459706-1fb4-4583-9f7b-8b95a0bc2966,Annotation,,CD21+,Root object (Image),Polygon,8412,7952.7,16,0,0,1624.2,277.97,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,d8173465-4cfb-4c6d-a550-4e3a64670310,Annotation,,LA,Root object (Image),Geometry,8454.8,7953,431,0,0,36253.4,2763.8,0,1,0,0,0,0,0,215,28,0,0,1,0,0,0,11,1,0,0,0,0,54,0,3,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,0c4f1eae-95b4-4717-a35d-5b69b65c539a,Annotation,,LA,Root object (Image),Geometry,9275.4,8038.5,39,0,0,2901.5,381.22,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,dd6981f6-c0de-4587-bca0-1a6f1dd380b0,Annotation,,LA,Root object (Image),Geometry,7715.8,8067.1,140,0,0,9761.1,1239,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,86,1,1,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,2f0b7914-796c-4e99-a983-d478c9aa1487,Annotation,,LA,Root object (Image),Geometry,3366.9,13487.5,91,0,0,6654.6,945.11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,2,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,9ca164e9-709a-4357-8f5c-697449564e78,Annotation,,LA,Root object (Image),Geometry,3506.9,13714.8,80,0,0,6465.4,841.86,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,4,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,eb750d3a-1c15-4954-b388-58663b75c4dc,Annotation,,LA,Root object (Image),Polygon,3392.9,13720.3,45,0,0,3138.1,659.19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,1d242a6b-eff5-4812-be6c-04197cd0ce86,Annotation,,LA,Root object (Image),Geometry,16831.4,13976.3,228,0,0,19585.4,2493.8,0,0,0,0,0,1,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,68,2,2,0,1,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,34321f17-19d8-4b3d-aea7-4d5f79b3de77,Annotation,,LA,Root object (Image),Polygon,16374.8,14036.7,26,0,0,1892.3,277.97,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,a32c9367-0a10-4fa2-bb07-4539a2bf0d5b,Annotation,,LA,Root object (Image),Polygon,5379,14171.4,28,0,0,2128.8,373.28,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
PBC-PR-6405_1B_Scan1.qptiff - resolution #1,1851f12b-361a-423c-9052-d1a316e2cf8a,Annotation,,LA,Root object (Image),Polygon,4935.9,14211.4,31,0,0,2523.1,476.53,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,,,,,,,,,,,,,,
